Race,Accuracy,Precision,Recall,F1 Score,AUROC,Best Threshold,Rejected Unknowns
White_augmented,0.888755980861244,0.8615107913669064,0.9676767676767676,0.91151284490961,0.8528300000000002,0.95,1164
Black_augmented,0.98159509202454,0.9741379310344828,1.0,0.9868995633187772,0.943075,0.95,237
Indian_augmented,0.9855769230769232,0.9727272727272728,1.0,0.9861751152073732,0.948375,0.95,192
East_Asian_augmented,0.9483568075117372,0.930379746835443,1.0,0.9639344262295082,0.93805,0.95,187
Southeast_Asian_augmented,0.9812206572769951,0.9636363636363636,1.0,0.9814814814814816,0.96495,0.95,187
Latino_Hispanic_augmented,0.981042654028436,0.9696969696969696,1.0,0.9846153846153848,0.960275,0.95,189
White_augmented,0.865625,0.8790697674418605,0.9174757281553398,0.8978622327790974,0.808665,0.95,1360
Black_augmented,0.9896373056994818,0.991869918699187,0.991869918699187,0.991869918699187,0.9556,0.95,207
Indian_augmented,0.9763313609467456,0.9626168224299064,1.0,0.9809523809523808,0.944275,0.95,231
East_Asian_augmented,0.9558823529411764,0.96,0.9504950495049505,0.9552238805970148,0.926875,0.95,196
Southeast_Asian_augmented,0.9757281553398058,0.9680851063829788,0.978494623655914,0.9732620320855616,0.939975,0.95,194
Latino_Hispanic_augmented,1.0,1.0,1.0,1.0,0.9775,0.95,183
